exec_time,script,slurm_partition,scheme,layout,victim_selection,do_log,matrix_name
24.6318,cc,xeon,STATIC,PERCPU,SEQ,1,wikipedia-20051105
24.749,cc,xeon,STATIC,PERCPU,SEQ,1,wikipedia-20051105
25.022,cc,xeon,STATIC,PERCPU,SEQ,1,wikipedia-20051105
25.0603,cc,xeon,STATIC,PERCPU,SEQ,1,wikipedia-20051105
24.6684,cc,xeon,STATIC,PERCPU,SEQ,1,wikipedia-20051105
25.0194,cc,xeon,STATIC,PERCPU,RANDOM,1,wikipedia-20051105
24.7314,cc,xeon,STATIC,PERCPU,RANDOM,1,wikipedia-20051105
25.3347,cc,xeon,STATIC,PERCPU,RANDOM,1,wikipedia-20051105
25.3162,cc,xeon,STATIC,PERCPU,RANDOM,1,wikipedia-20051105
25.6118,cc,xeon,STATIC,PERCPU,RANDOM,1,wikipedia-20051105
24.4975,cc,xeon,STATIC,PERCPU,SEQPRI,1,wikipedia-20051105
24.9604,cc,xeon,STATIC,PERCPU,SEQPRI,1,wikipedia-20051105
24.9356,cc,xeon,STATIC,PERCPU,SEQPRI,1,wikipedia-20051105
25.1264,cc,xeon,STATIC,PERCPU,SEQPRI,1,wikipedia-20051105
25.1945,cc,xeon,STATIC,PERCPU,SEQPRI,1,wikipedia-20051105
34.8439,cc,xeon,STATIC,PERGROUP,SEQ,1,wikipedia-20051105
36.3426,cc,xeon,STATIC,PERGROUP,SEQ,1,wikipedia-20051105
34.4465,cc,xeon,STATIC,PERGROUP,SEQ,1,wikipedia-20051105
34.4127,cc,xeon,STATIC,PERGROUP,SEQ,1,wikipedia-20051105
34.3715,cc,xeon,STATIC,PERGROUP,SEQ,1,wikipedia-20051105
34.4704,cc,xeon,STATIC,PERGROUP,RANDOM,1,wikipedia-20051105
35.0179,cc,xeon,STATIC,PERGROUP,RANDOM,1,wikipedia-20051105
34.8655,cc,xeon,STATIC,PERGROUP,RANDOM,1,wikipedia-20051105
34.3534,cc,xeon,STATIC,PERGROUP,RANDOM,1,wikipedia-20051105
34.4754,cc,xeon,STATIC,PERGROUP,RANDOM,1,wikipedia-20051105
34.5463,cc,xeon,STATIC,PERGROUP,SEQPRI,1,wikipedia-20051105
34.4445,cc,xeon,STATIC,PERGROUP,SEQPRI,1,wikipedia-20051105
34.5593,cc,xeon,STATIC,PERGROUP,SEQPRI,1,wikipedia-20051105
34.8865,cc,xeon,STATIC,PERGROUP,SEQPRI,1,wikipedia-20051105
34.5391,cc,xeon,STATIC,PERGROUP,SEQPRI,1,wikipedia-20051105
22.9063,cc,xeon,GSS,PERCPU,SEQ,1,wikipedia-20051105
21.9431,cc,xeon,GSS,PERCPU,SEQ,1,wikipedia-20051105
22.0839,cc,xeon,GSS,PERCPU,SEQ,1,wikipedia-20051105
22.104,cc,xeon,GSS,PERCPU,SEQ,1,wikipedia-20051105
22.0666,cc,xeon,GSS,PERCPU,SEQ,1,wikipedia-20051105
21.6933,cc,xeon,GSS,PERCPU,RANDOM,1,wikipedia-20051105
21.6538,cc,xeon,GSS,PERCPU,RANDOM,1,wikipedia-20051105
21.5898,cc,xeon,GSS,PERCPU,RANDOM,1,wikipedia-20051105
21.5257,cc,xeon,GSS,PERCPU,RANDOM,1,wikipedia-20051105
21.6477,cc,xeon,GSS,PERCPU,RANDOM,1,wikipedia-20051105
21.9866,cc,xeon,GSS,PERCPU,SEQPRI,1,wikipedia-20051105
22.0525,cc,xeon,GSS,PERCPU,SEQPRI,1,wikipedia-20051105
21.9878,cc,xeon,GSS,PERCPU,SEQPRI,1,wikipedia-20051105
22.0623,cc,xeon,GSS,PERCPU,SEQPRI,1,wikipedia-20051105
22.5753,cc,xeon,GSS,PERCPU,SEQPRI,1,wikipedia-20051105
29.9438,cc,xeon,GSS,PERGROUP,SEQ,1,wikipedia-20051105
29.7383,cc,xeon,GSS,PERGROUP,SEQ,1,wikipedia-20051105
30.2545,cc,xeon,GSS,PERGROUP,SEQ,1,wikipedia-20051105
29.5737,cc,xeon,GSS,PERGROUP,SEQ,1,wikipedia-20051105
29.6625,cc,xeon,GSS,PERGROUP,SEQ,1,wikipedia-20051105
30.3767,cc,xeon,GSS,PERGROUP,RANDOM,1,wikipedia-20051105
30.0221,cc,xeon,GSS,PERGROUP,RANDOM,1,wikipedia-20051105
29.4056,cc,xeon,GSS,PERGROUP,RANDOM,1,wikipedia-20051105
29.5991,cc,xeon,GSS,PERGROUP,RANDOM,1,wikipedia-20051105
29.9196,cc,xeon,GSS,PERGROUP,RANDOM,1,wikipedia-20051105
29.4659,cc,xeon,GSS,PERGROUP,SEQPRI,1,wikipedia-20051105
30.1072,cc,xeon,GSS,PERGROUP,SEQPRI,1,wikipedia-20051105
29.8102,cc,xeon,GSS,PERGROUP,SEQPRI,1,wikipedia-20051105
29.9849,cc,xeon,GSS,PERGROUP,SEQPRI,1,wikipedia-20051105
29.7827,cc,xeon,GSS,PERGROUP,SEQPRI,1,wikipedia-20051105
19.8502,cc,xeon,AUTO,PERCPU,SEQ,1,wikipedia-20051105
